homeName,awayName,outcome1,outcomeX,outcome2,outcomeOver,outcomeUnder,outcomeGG,outcomeNG,homeId,awayId
Ac Milan,Bologna,2.25,3.4,3.3,1.86,1.85,1.7,2.05,0,2
Como,Cagliari,1.79,3.85,4.55,1.66,2.1,1.67,2.15,4,3
Lazio,Juventus,2.45,3.1,3.2,2.15,1.63,1.84,1.9,11,10
Sassuolo,Parma,2.35,3.1,3.45,2.3,1.55,1.99,1.77,17,14
Udinese,Cremonese,1.63,4.15,5.4,1.79,1.91,1.88,1.86,19,5
Hellas Verona,Lecce,2.5,2.9,3.4,2.5,1.46,2.05,1.7,8,12
Torino,Inter Milan,5.1,3.75,1.73,2.0,1.73,2.0,1.76,18,9
Napoli,Genoa,1.3,5.5,11.25,1.72,2.0,2.25,1.59,13,7
Pisa,Fiorentina,2.7,3.1,2.85,2.25,1.58,1.92,1.82,15,6
Atalanta,Roma,2.05,3.6,3.7,1.68,2.05,1.61,2.25,1,16
Genoa,Atalanta,3.3,3.4,2.3,1.88,1.82,1.74,2.0,7,1
Cremonese,Sassuolo,5.0,3.55,1.78,2.1,1.67,2.05,1.71,5,17
Hellas Verona,Como,3.25,3.1,2.45,2.25,1.58,1.93,1.81,8,4
Roma,Ac Milan,2.2,3.6,3.25,1.7,2.05,1.61,2.2,16,0
Parma,Napoli,6.8,4.4,1.5,1.84,1.87,2.0,1.75,14,13
Lecce,Torino,2.1,3.2,4.05,2.35,1.53,2.05,1.73,12,18
Fiorentina,Bologna,3.0,3.05,2.6,2.25,1.58,1.92,1.82,6,2
Cagliari,Pisa,2.8,3.0,2.9,2.15,1.62,1.82,1.92,3,15
Inter Milan,Lazio,1.68,4.05,5.1,1.66,2.1,1.7,2.1,9,11
Juventus,Udinese,1.41,4.85,8.1,1.77,1.94,2.05,1.71,10,19
Napoli,Cagliari,1.22,6.8,14.0,1.5,2.4,2.25,1.61,13,3
Como,Inter Milan,4.35,4.15,1.76,1.54,2.3,1.56,2.3,4,9
Bologna,Genoa,1.51,4.35,6.9,1.89,1.81,2.05,1.7,2,7
Ac Milan,Cremonese,1.26,6.7,10.0,1.33,3.05,1.76,2.0,0,5
Pisa,Juventus,6.3,4.85,1.48,1.53,2.35,1.72,2.05,15,10
Atalanta,Parma,1.88,3.85,4.05,1.56,2.3,1.56,2.35,1,14
Lazio,Lecce,1.48,4.65,6.7,1.58,2.25,1.78,1.97,11,12
Torino,Roma,5.5,4.35,1.59,1.67,2.1,1.76,2.0,18,16
Udinese,Fiorentina,3.05,3.35,2.4,1.78,1.93,1.65,2.15,19,6
Sassuolo,Hellas Verona,2.0,3.0,4.85,2.85,1.37,2.5,1.49,17,8
Cremonese,Cagliari,2.35,3.05,3.15,2.0,1.72,1.73,1.99,5,3
Lecce,Genoa,2.95,2.75,2.75,2.3,1.55,1.97,1.75,12,7
Torino,Parma,1.75,3.5,5.0,1.9,1.82,1.78,1.93,18,14
Roma,Lazio,2.55,2.95,3.05,1.99,1.73,1.7,2.05,16,11
Lazio,Como,2.0,3.35,3.8,1.88,1.83,1.7,2.05,11,4
Udinese,Atalanta,5.6,3.8,1.62,1.87,1.83,1.85,1.87,19,1
Sassuolo,Lecce,2.0,3.05,4.2,2.3,1.55,1.98,1.75,17,12
Ac Milan,Cagliari,1.3,5.4,9.2,1.5,2.45,1.82,1.9,0,3
Genoa,Parma,1.97,3.25,4.1,1.85,1.85,1.67,2.1,7,14
Pisa,Inter Milan,9.4,5.0,1.32,1.57,2.25,1.93,1.78,15,9
Como,Ac Milan,4.2,3.6,1.83,1.75,1.97,1.65,2.1,4,0
Atalanta,Juventus,2.15,3.05,3.8,2.2,1.6,1.88,1.83,1,10
Inter Milan,Bologna,1.5,4.1,6.6,1.77,1.95,1.87,1.85,9,2
Roma,Genoa,1.47,4.1,7.4,1.9,1.82,2.05,1.7,16,7
Juventus,Ac Milan,2.2,3.15,3.45,2.05,1.68,1.8,1.92,10,0
Fiorentina,Torino,1.77,3.45,4.9,2.0,1.72,1.87,1.85,6,18
Parma,Pisa,2.15,3.35,3.35,1.77,1.95,1.6,2.2,14,15
Hellas Verona,Lazio,4.8,3.55,1.77,1.88,1.82,1.77,1.97,8,11
Como,Udinese,2.1,3.25,3.6,1.95,1.77,1.73,1.99,4,19
Torino,Cagliari,2.25,2.95,3.5,2.2,1.6,1.85,1.85,18,3
