homeName,awayName,outcome1,outcomeX,outcome2,outcomeOver,outcomeUnder,outcomeGG,outcomeNG,homeId,awayId
Lecce,Pisa,2.35,3.0,3.35,2.26,1.54,1.9,1.78,12,15
Sassuolo,Cagliari,2.55,3.05,2.95,2.18,1.58,1.84,1.83,17,3
Torino,Hellas Verona,1.85,3.05,4.7,2.47,1.46,2.18,1.58,18,8
Atalanta,Lazio,1.62,3.85,4.95,1.68,2.02,1.68,2.03,1,11
Roma,Juventus,2.41,2.92,3.1,2.16,1.59,1.77,1.95,16,10
Bologna,Napoli,2.65,2.85,2.9,2.38,1.49,1.96,1.72,2,13
Udinese,Ac Milan,4.0,3.55,1.9,1.73,1.95,1.65,2.07,19,0
Pisa,Cremonese,1.75,3.5,4.55,1.93,1.75,1.85,1.82,15,5
Inter Milan,Cagliari,1.3,5.25,10.0,1.62,2.16,2.01,1.72,9,3
Juventus,Lecce,1.33,4.85,10.0,1.83,1.84,2.26,1.54,10,12
Atalanta,Bologna,1.95,3.35,4.0,1.9,1.8,1.68,2.05,1,2
Hellas Verona,Genoa,2.95,2.65,2.9,2.71,1.39,2.13,1.61,8,7
Fiorentina,Parma,1.72,3.65,4.85,1.83,1.84,1.78,1.89,6,14
Como,Torino,1.83,3.5,4.4,1.97,1.72,1.8,1.9,4,18
Lazio,Roma,3.1,3.0,2.5,1.99,1.7,1.74,1.94,11,16
Napoli,Sassuolo,1.35,4.85,9.0,1.87,1.8,2.08,1.64,13,17
Lecce,Como,3.55,3.4,2.07,1.81,1.86,1.66,2.05,12,4
Cremonese,Napoli,10.75,5.35,1.29,1.7,1.99,2.15,1.6,5,13
Roma,Hellas Verona,1.46,4.1,7.5,1.96,1.72,2.02,1.68,16,8
Sassuolo,Pisa,2.3,2.95,3.55,2.32,1.52,1.96,1.73,17,15
Bologna,Inter Milan,3.4,3.1,2.26,2.03,1.67,1.76,1.91,2,9
Ac Milan,Atalanta,2.56,3.35,2.55,1.51,2.34,1.44,2.54,0,1
Torino,Udinese,2.42,2.87,3.4,2.34,1.53,1.95,1.77,18,19
Cagliari,Fiorentina,3.25,2.97,2.45,2.08,1.67,1.79,1.91,3,6
Genoa,Lazio,3.45,3.1,2.28,2.2,1.6,1.9,1.81,7,11
Parma,Juventus,5.0,3.65,1.7,1.82,1.85,1.79,1.88,14,10
Torino,Udinese,2.45,2.9,3.25,2.33,1.51,1.93,1.75,18,19
Cagliari,Fiorentina,2.9,3.1,2.55,2.15,1.6,1.82,1.85,3,6
Genoa,Lazio,3.65,3.1,2.15,2.2,1.57,1.91,1.77,7,11
Como,Genoa,1.72,3.55,4.6,1.87,1.8,1.77,1.91,4,7
Pisa,Ac Milan,4.85,4.05,1.59,1.57,2.2,1.59,2.16,15,0
Inter Milan,Roma,1.75,3.65,4.3,1.66,2.05,1.63,2.09,9,16
Fiorentina,Sassuolo,2.02,3.05,3.7,2.2,1.57,1.92,1.75,6,17
Juventus,Cremonese,1.2,6.4,12.75,1.52,2.31,2.24,1.55,10,5
Napoli,Torino,1.29,4.6,9.0,1.88,1.76,2.28,1.51,13,18
Atalanta,Lecce,1.2,5.8,10.75,1.54,2.22,2.02,1.65,1,12
Udinese,Bologna,5.0,3.4,1.71,2.22,1.56,2.1,1.63,19,2
Lazio,Parma,1.37,4.8,7.2,1.59,2.17,1.86,1.81,11,14
Hellas Verona,Cagliari,2.6,2.52,3.55,2.37,1.51,1.82,1.85,8,3
Torino,Pisa,2.47,2.95,2.98,2.11,1.62,1.83,1.84,18,15
Cagliari,Udinese,2.5,2.9,3.2,2.18,1.58,1.83,1.84,3,19
Parma,Como,3.3,3.3,2.2,1.68,2.02,1.55,2.24,14,4
Lecce,Napoli,7.5,4.0,1.48,1.98,1.71,2.15,1.6,12,13
Inter Milan,Hellas Verona,1.44,4.5,7.0,1.82,1.85,1.99,1.7,9,8
Sassuolo,Lazio,4.4,3.45,1.78,2.07,1.65,1.93,1.75,17,11
Cremonese,Atalanta,11.75,6.6,1.18,1.41,2.62,1.9,1.78,5,1
Roma,Fiorentina,1.73,3.6,4.7,1.9,1.77,1.83,1.84,16,6
Bologna,Juventus,2.32,2.94,3.35,2.3,1.53,1.93,1.75,2,10
Genoa,Ac Milan,4.5,3.75,1.69,1.69,2.01,1.65,2.07,7,0
Ac Milan,Bologna,2.18,3.25,3.2,1.81,1.86,1.68,2.02,0,2
Como,Cagliari,1.7,3.75,4.4,1.64,2.08,1.61,2.13,4,3
Lazio,Juventus,2.38,3.05,3.3,2.05,1.68,1.75,1.95,11,10
Sassuolo,Parma,2.31,3.0,3.45,2.31,1.52,1.99,1.7,17,14
Udinese,Cremonese,1.57,4.0,5.75,1.74,1.94,1.79,1.89,19,5
Hellas Verona,Lecce,2.55,2.85,3.25,2.48,1.45,2.02,1.68,8,12
Torino,Inter Milan,5.25,3.6,1.7,1.93,1.75,1.88,1.79,18,9
Napoli,Genoa,1.26,5.2,10.5,1.68,2.02,2.2,1.57,13,7
Pisa,Fiorentina,2.7,3.1,2.8,2.18,1.58,1.85,1.82,15,6
Atalanta,Roma,2.0,3.4,3.8,1.65,2.07,1.56,2.23,1,16
Genoa,Atalanta,3.1,3.3,2.22,1.79,1.88,1.64,2.08,7,1
Hellas Verona,Como,3.2,2.88,2.38,2.21,1.57,1.87,1.81,8,4
Cagliari,Pisa,2.74,2.86,2.76,2.1,1.63,1.77,1.89,3,15
Roma,Ac Milan,2.15,3.45,3.2,1.62,2.12,1.51,2.32,16,0
Parma,Napoli,6.5,4.25,1.5,1.77,1.91,1.93,1.74,14,13
Cremonese,Sassuolo,5.0,3.45,1.73,2.04,1.67,1.96,1.73,5,17
Lecce,Torino,2.05,3.0,3.85,2.27,1.54,1.96,1.73,12,18
Fiorentina,Bologna,2.94,2.94,2.5,2.17,1.59,1.86,1.81,6,2
Inter Milan,Lazio,1.65,3.95,5.0,1.61,2.13,1.63,2.09,9,11
Juventus,Udinese,1.4,4.7,7.75,1.72,1.97,1.98,1.71,10,19
Napoli,Cagliari,1.18,7.1,14.25,1.52,2.38,2.2,1.6,13,3
Como,Inter Milan,4.4,4.1,1.63,1.52,2.37,1.55,2.3,4,9
Bologna,Genoa,1.47,4.35,6.9,1.85,1.85,2.02,1.71,2,7
Ac Milan,Cremonese,1.25,6.4,9.8,1.32,3.1,1.72,2.01,0,5
Pisa,Juventus,6.75,4.7,1.43,1.52,2.37,1.67,2.08,15,10
Lazio,Lecce,1.43,4.55,7.5,1.57,2.25,1.73,1.99,11,12
Atalanta,Parma,1.86,3.75,4.0,1.58,2.23,1.54,2.33,1,14
Udinese,Fiorentina,3.0,3.35,2.35,1.74,1.98,1.57,2.26,19,6
Torino,Roma,5.5,4.35,1.55,1.61,2.19,1.66,2.09,18,16
Sassuolo,Hellas Verona,1.96,2.92,4.95,2.84,1.37,2.42,1.5,17,8
